edge,score
a14.h11->a16.h2<q>,0.037826203
a9.h0->m12,0.0377754565
a2.h6->m2,0.0377737590961914
a10.h14->m11,0.037652757
a4.h9->m5,0.0376364592089843
a9.h10->m12,0.037557248
a6.h10->a7.h15<v>,0.0374506045
a8.h8->a10.h15<k>,0.03736178425
a1.h4->m2,0.0372982444072265
a0.h1->m1,0.0372771985546875
m5->a8.h13<k>,0.03712569
m8->a10.h0<q>,0.03704504
m6->m22,0.036958067765625
a9.h4->m9,0.036715927625
a11.h2->m13,0.03649953115625
a7.h6->m7,0.0364601223798828
m10->a11.h11<q>,0.0363123339633789
m1->a2.h2<v>,0.0362438625
m1->m11,0.0362378582832031
m4->m12,0.0361934102373046
a15.h8->a16.h7<q>,0.036108497
a20.h1->m23,0.0360413723125
m10->a11.h11<k>,0.036008742508789
a13.h4->a14.h5<q>,0.0359673911171875
a13.h11->a14.h15<q>,0.03585919
a3.h13->m5,0.03575050046875
m8->a10.h1<v>,0.035642453
a13.h1->m14,0.035584502
m2->a3.h5<k>,0.035568746
a21.h3->m23,0.035468403875
m6->a14.h15<q>,0.03546204
m11->a13.h11<q>,0.03542442
m6->a11.h7<q>,0.035269246
a6.h15->m8,0.035249871875
a3.h1->m5,0.0352190846875
m0->a1.h4<q>,0.03520014
m0->m9,0.03509432
m7->a9.h15<v>,0.035034522
m21->m23,0.0349879589375
a0.h7->m1,0.0347603448124999
m21->a23.h3<k>,0.03464812425
a4.h2->m4,0.0345252468503418
m6->a8.h3<v>,0.03438974825
a10.h8->a14.h11<v>,0.0343803350546874
m11->m18,0.034313146
a7.h4->m7,0.0342708070625
m12->a13.h1<v>,0.034189266625
a11.h15->a13.h4<v>,0.034178381895996
a13.h4->a14.h13<k>,0.03410930078125
a3.h0->a6.h12<k>,0.03408219
m10->a13.h2<v>,0.0340752835
m13->a14.h10<q>,0.0340612365
m8->a10.h9<q>,0.034053116875
a2.h10->a3.h14<v>,0.033895664625
m10->a11.h0<q>,0.033888483625
a0.h6->m0,0.0338802254375
m11->a12.h3<v>,0.0338595852539062
m6->m12,0.0338059720595703
a13.h4->a14.h15<v>,0.0337757311875
a9.h2->m11,0.033753048
m7->a14.h13<k>,0.033725299
a11.h7->m15,0.033724613
a11.h15->a12.h3<v>,0.03369570903125
a7.h13->m8,0.03365173575
m5->a7.h8<k>,0.0336418505
a13.h9->m13,0.033565244375
a8.h10->m12,0.0335373100625
m14->a18.h0<k>,0.0335036985
a14.h13->a18.h0<q>,0.03345463303125
m20->m22,0.0334301018125
m11->a13.h1<k>,0.033419635
a12.h3->a20.h14<q>,0.033311144
a6.h14->m8,0.0332432379999999
a9.h6->m11,0.033203259
a10.h10->m10,0.033114475046875
a8.h5->m8,0.0330724264414062
m5->a7.h6<v>,0.0330694198125
m4->a5.h10<v>,0.032850025
m14->m16,0.0328221540273437
m9->a10.h3<v>,0.032777686
m6->a14.h13<k>,0.0327599793125
m9->a13.h1<q>,0.0327510795
a2.h5->m2,0.0327347191328125
m12->a13.h11<q>,0.032717265
a10.h15->m13,0.03255489625
m5->a6.h12<k>,0.03244641
a13.h4->a14.h6<q>,0.032430998390625
a4.h11->m4,0.0324220765234374
a14.h13->a15.h8<q>,0.0324080854999999
a6.h0->a7.h1<q>,0.032399647
a17.h15->m23,0.0323779074277343
