,score,abs_score,source,target
a15.h8->a18.h0<q>,-0.019549627,0.019549627,Node(a15.h8),Node(a18.h0)
m15->a18.h0<q>,0.019522164,0.019522164,Node(m15),Node(a18.h0)
m16->a18.h4<k>,-0.018023958,0.018023958,Node(m16),Node(a18.h4)
a17.h5->a18.h0<q>,0.022111079,0.022111079,Node(a17.h5),Node(a18.h0)
m17->m18,-0.018224832,0.018224832,Node(m17),Node(m18)
m16->a21.h12<k>,-0.01819151,0.01819151,Node(m16),Node(a21.h12)
m6->m22,0.018843997,0.018843997,Node(m6),Node(m22)
m16->m22,0.023222094,0.023222094,Node(m16),Node(m22)
a20.h1->m22,0.04042925,0.04042925,Node(a20.h1),Node(m22)
a20.h9->m22,0.022796419,0.022796419,Node(a20.h9),Node(m22)
a21.h3->m22,0.022551388,0.022551388,Node(a21.h3),Node(m22)
a21.h12->m22,-0.051813886,0.051813886,Node(a21.h12),Node(m22)
m21->m22,-0.049679425,0.049679425,Node(m21),Node(m22)
a22.h6->m22,-0.020106692,0.020106692,Node(a22.h6),Node(m22)
a22.h11->m22,-0.018489897,0.018489897,Node(a22.h11),Node(m22)
m22->a23.h15<v>,-0.025968056,0.025968056,Node(m22),Node(a23.h15)
a17.h15->m23,0.03439387,0.03439387,Node(a17.h15),Node(m23)
m19->m23,0.021095436,0.021095436,Node(m19),Node(m23)
a20.h14->m23,0.06211985,0.06211985,Node(a20.h14),Node(m23)
a21.h1->m23,0.017832732,0.017832732,Node(a21.h1),Node(m23)
a22.h11->m23,0.023475092,0.023475092,Node(a22.h11),Node(m23)
m22->m23,-0.16116852,0.16116852,Node(m22),Node(m23)
a23.h3->m23,0.075220644,0.075220644,Node(a23.h3),Node(m23)
a23.h5->m23,-0.02142479,0.02142479,Node(a23.h5),Node(m23)
a23.h11->m23,-0.041789256,0.041789256,Node(a23.h11),Node(m23)
a23.h15->m23,-0.019561205,0.019561205,Node(a23.h15),Node(m23)
m11->logits,-0.024117809,0.024117809,Node(m11),Node(logits)
m12->logits,0.029700166,0.029700166,Node(m12),Node(logits)
m15->logits,0.026964925,0.026964925,Node(m15),Node(logits)
a17.h5->logits,-0.022186607,0.022186607,Node(a17.h5),Node(logits)
a17.h15->logits,-0.0860511,0.0860511,Node(a17.h15),Node(logits)
m17->logits,0.024327314,0.024327314,Node(m17),Node(logits)
a18.h0->logits,0.045655113,0.045655113,Node(a18.h0),Node(logits)
a18.h4->logits,-0.040777054,0.040777054,Node(a18.h4),Node(logits)
a18.h8->logits,-0.11275964,0.11275964,Node(a18.h8),Node(logits)
a18.h9->logits,-0.033107802,0.033107802,Node(a18.h9),Node(logits)
m18->logits,0.02347318,0.02347318,Node(m18),Node(logits)
a20.h1->logits,-0.04860469,0.04860469,Node(a20.h1),Node(logits)
a20.h9->logits,-0.0457564,0.0457564,Node(a20.h9),Node(logits)
a20.h14->logits,-0.09445994,0.09445994,Node(a20.h14),Node(logits)
a21.h1->logits,-0.032875694,0.032875694,Node(a21.h1),Node(logits)
a21.h3->logits,-0.06838478,0.06838478,Node(a21.h3),Node(logits)
a21.h12->logits,0.06900123,0.06900123,Node(a21.h12),Node(logits)
a21.h15->logits,0.019016605,0.019016605,Node(a21.h15),Node(logits)
m21->logits,0.059883397,0.059883397,Node(m21),Node(logits)
a22.h6->logits,0.018634755,0.018634755,Node(a22.h6),Node(logits)
a22.h12->logits,-0.025013944,0.025013944,Node(a22.h12),Node(logits)
a23.h3->logits,-0.127069,0.127069,Node(a23.h3),Node(logits)
a23.h5->logits,0.03185394,0.03185394,Node(a23.h5),Node(logits)
a23.h8->logits,0.019764308,0.019764308,Node(a23.h8),Node(logits)
a23.h11->logits,0.020143805,0.020143805,Node(a23.h11),Node(logits)
a23.h15->logits,-0.018837612,0.018837612,Node(a23.h15),Node(logits)
m23->logits,0.4149434,0.4149434,Node(m23),Node(logits)
